Season,TeamName,de_TOPct,de_ORPct,de_FTRate,o_eFGPct,o_TOPct,o_ORPct,o_FTRate,Tempo,OE,DE,AdjDE,AdjEM,Off_2,Off_3,Def_2,Def_3,CONF,G,W,2P_D,3P_O,3P_D,WAB,POSTSEASON,SEED,FUTURE_ODDS
2023,Alabama,15.82836797,27.90123457,32.63510683,52.11754538,18.6730977,34.204947,36.64649957,72.728,110.678,91.7502,88.2114,27.2842,43.40931615,36.27353816,54.07759303,23.99049881,SEC,37,31,40.8,33.5,28.3,10.2,S16,1,800
2023,Arizona,16.92909713,26.08695652,25.49638989,56.49131274,18.38240709,30.7161346,35.81081081,72.7404,112.307,97.8503,96.3422,21.9018,50.80251221,30.87927425,50.44176707,33.37349398,P12,35,28,46.2,37.8,32.3,7.6,R64,2,1200
2023,Arizona St.,20.11120901,31.49664929,33.49236641,48.40499307,16.80580238,29.17282127,31.20665742,69.0271,102.35,97.6085,95.7775,13.2616,49.70691676,32.12192263,45.52513282,34.20514916,P12,36,23,43.6,32.2,34.1,1.2,R64,11,20000
2023,Arkansas,20.45703137,27.90697674,39.47895792,50.92098885,18.0526404,30.72487644,39.26320892,70.2183,105.131,96.5426,94.0204,18.0488,58.66466617,20.14253563,53.80212592,23.18070319,SEC,36,22,47.4,31.3,31.1,0.4,S16,8,5000
2023,Auburn,18.86621315,32.38866397,38.88314374,49.49773983,17.67106843,32.8358209,36.31341035,68.643,105.535,98.3279,95.7074,16.7721,52.8698464,26.79870655,51.78105995,25.02172024,SEC,34,21,47,31.5,28.8,1.1,R32,9,15000
2023,Baylor,19.93244156,30.85972851,31.28286015,53.21921308,17.85704635,34.41901408,36.79100664,67.7673,113.182,103.795,101.629,19.6828,42.53531882,36.99885452,52.74173294,29.38467978,B12,34,23,53.3,36.8,32.5,5.2,R32,3,1600
2023,Boise St.,17.5402197,24.0034662,27.57333333,51.64981373,16.64302176,27.17291857,30.33528473,66.8032,105.954,96.283,95.0639,15.8506,50.0635324,32.14739517,52.51865672,30.64365672,MWC,33,24,48,35.6,31.2,2.1,R64,10,20000
2023,Charleston,19.30752808,25.44861338,24.9383933,51.09864423,16.66718236,34.63302752,32.7255727,70.7782,111.59,94.2271,98.7344,11.8486,43.72230428,37.0014771,59.40507437,25.59055118,CAA,34,31,49.1,33,30.1,1.7,R64,12,20000
2023,Colgate,17.71885932,24.5021645,20.03998001,58.20591233,15.03287087,25.16619183,27.37003058,67.8904,114.394,102.413,107.478,5.24127,55.37878788,31.13636364,54.94505495,33.34742181,Pat,34,26,51.5,40.5,35.6,-3.7,R64,15,100000
2023,Connecticut,18.49116934,26.00864553,37.76223776,53.94342049,18.86624377,38.43821077,30.81868838,68.3625,114.768,94.0146,90.9361,29.8627,47.5848564,34.56266319,52.93882447,23.27069172,BE,39,31,44.4,36.3,29.7,5,Champions,4,2000
